,Year_Birth,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,web_purchases,cat_purchases,in_store_purchases,NumWebVisitsMonth,Complain,children,accepted_offer,total_purchases,enroll_yr,total_spent
54,1978,College,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,2,0,16,2013,606
55,1955,Masters,Coupled,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,2,26,2012,1957
56,1966,College,Single,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,1,20,2013,1093
57,1988,College,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,1,0,5,2014,29
58,1982,College,Single,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,0,1,0,5,2013,46
59,1968,PhD,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,1,0,16,2014,518
60,1982,Masters,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,3,20,2013,1438
61,1975,College,Coupled,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,2,0,18,2012,612
62,1952,College,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,1,0,20,2013,884
63,1951,PhD,Single,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,1,0,18,2013,606
64,1948,College,Coupled,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,15,2013,1076
65,1971,College,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,1,4,2013,34
66,1967,College,Coupled,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,2,0,3,2014,11
67,1979,Masters,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,3,31,2014,1274
68,1958,College,Coupled,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,1,0,17,2013,653
69,1970,College,Coupled,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,3,0,12,2013,1562
70,1954,Masters,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,18,2012,1253
71,1973,Masters,Married,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,0,1,0,6,2012,109
72,1959,College,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,1,0,26,2013,863
73,1975,PhD,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,2,1,19,2013,661
74,1952,College,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,7,2014,65
75,1977,College,Single,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,1,0,3,2012,13
76,1972,Masters,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,1,18,2012,1890
77,1976,College,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,2,22,2012,2209
78,1976,Masters,Coupled,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,0,3,2013,18
79,1965,College,Coupled,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,2,19,2013,692
80,1985,College,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,1,0,8,2012,165
81,1969,College,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,1,0,3,2013,16
82,1973,Masters,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,1,0,6,2013,79
83,1963,Masters,Coupled,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,10,2013,318
84,1987,College,Single,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,26,2014,778
85,1960,College,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,2,0,5,2013,56
86,1970,Masters,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,2,1,8,2013,151
87,1957,College,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,3,13,2014,372
88,1973,College,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,18,2014,1366
89,1967,College,Coupled,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,1,0,9,2014,194
90,1957,PhD,Married,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,0,3,0,17,2012,603
91,1957,College,Single,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,0,2,0,3,2014,18
92,1973,Masters,Coupled,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,14,2013,985
93,1972,Masters,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,1,0,4,2014,32
94,1970,PhD,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,1,0,7,2014,43
95,1983,College,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,1,0,5,2014,45
96,1960,College,Single,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,1,17,2012,606
97,1972,College,Single,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,2,0,5,2013,63
98,1951,Masters,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,1,24,2013,978
99,1983,PhD,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,14,2013,410
100,1960,Masters,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,1,0,5,2013,72
101,1959,PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,1,0,5,2014,55
102,1979,College,Coupled,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,1,0,25,2013,1169
103,1945,PhD,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,15,2013,1120
104,1959,College,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,1,19,2014,1097
105,1979,High_school,Coupled,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,1,0,4,2013,29
106,1964,College,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,2,0,9,2013,187
107,1969,College,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,2,0,22,2013,910
108,1978,College,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,1,0,7,2012,145
109,1960,Masters,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,13,2012,850
110,1979,College,Coupled,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,1,0,23,2013,969
111,1991,PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,2,16,2012,1820
112,1963,Masters,Coupled,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,1,17,2014,608
113,1991,College,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,3,24,2013,730
114,1980,PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,1,0,16,2012,551
115,1962,College,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,2,0,6,2013,114
116,1970,College,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,2,15,2014,1724
117,1978,Masters,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,1,0,15,2013,577
118,1967,Masters,Coupled,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,2,0,5,2013,81
119,1969,College,Coupled,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,1,0,5,2013,33
120,1953,Masters,Coupled,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,1,0,18,2013,660
121,1967,Masters,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,1,6,2014,80
122,1985,Masters,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,2,0,4,2013,30
123,1976,College,Single,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,1,0,4,2013,43
124,1983,College,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,0,4,27,2013,1135
125,1965,Masters,Coupled,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,14,2013,559
126,1984,College,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,1,15,2013,1923
127,1953,Masters,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,2,0,6,2014,90
128,1961,PhD,Married,52247.25135379061,23,352,0,27,10,0,15,3,6,1,7,6,0,1,0,14,2013,404
129,1956,PhD,Coupled,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,2,0,19,2014,661
130,1952,College,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,1,0,14,2013,463
131,1958,Masters,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,2,0,18,2013,632
132,1969,College,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,18,2014,725
133,1963,College,Married,52247.25135379061,96,231,65,196,38,71,124,1,6,5,7,4,0,1,0,18,2013,725
134,1964,PhD,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,2,0,11,2013,279
135,1967,PhD,Coupled,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,1,22,2013,1482
136,1976,High_school,Single,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,1,0,4,2012,29
137,1959,PhD,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,3,0,6,2013,106
138,1973,PhD,Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,2,2,4,2014,49
139,1965,PhD,Single,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,2,0,5,2013,38
140,1992,Masters,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,21,2012,2077
141,1976,Masters,Coupled,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,1,15,2013,1053
142,1962,College,Married,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,22,2013,1385
143,1974,PhD,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,1,0,22,2013,871
144,1988,College,Coupled,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,1,0,9,2013,312
145,1976,College,Married,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,2,0,12,2012,877
146,1975,College,Married,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,1,5,2012,68
147,1981,College,Coupled,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,1,0,3,2013,22
148,1973,Masters,Married,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,3,0,9,2012,211
149,1966,Masters,Married,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,7,2014,127
150,1953,Masters,Married,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,2,0,15,2014,459
151,1969,College,Married,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,1,15,2014,460
152,1972,Masters,Coupled,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,1,0,13,2012,429
153,1988,College,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,1,0,7,2014,89
154,1952,PhD,Coupled,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,1,0,24,2012,1021
155,1949,College,Coupled,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,3,20,2013,1381
156,1958,College,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,1,0,12,2013,306
157,1978,College,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,3,0,3,2013,18
158,1977,College,Coupled,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,1,0,8,2013,162
159,1955,College,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,17,2013,1231
160,1958,Masters,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,3,0,3,2013,13
161,1945,PhD,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,25,2012,1706
162,1984,College,Married,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,1,0,7,2014,121
163,1975,PhD,Single,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,19,2013,1293
164,1973,PhD,Married,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,1,0,22,2014,1608
165,1966,College,Coupled,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,3,0,6,2013,88
166,1953,College,Single,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,17,2013,421
167,1959,College,Single,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,1,11,2013,259
168,1988,College,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,14,2013,1117
169,1957,College,Coupled,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,2,0,6,2014,89
170,1965,College,Coupled,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,2,0,4,2014,36
171,1982,College,Married,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,1,0,5,2013,57
172,1970,College,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,2,0,7,2014,148
173,1959,PhD,Coupled,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,2,0,6,2014,93
174,1967,College,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,1,1,6,2014,119
175,1975,PhD,Married,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,1,0,27,2012,1835
176,1948,PhD,Married,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,0,3,24,2012,1318
177,1970,PhD,Married,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,2,0,5,2014,45
178,1959,College,Coupled,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,3,0,3,2014,10
179,1951,Masters,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,1,24,2013,978
180,1976,PhD,Married,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,1,0,9,2014,191
181,1988,Masters,Married,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,1,0,6,2014,57
182,1946,Masters,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,23,2013,1033
183,1984,Masters,Married,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,1,0,5,2014,66
184,1961,High_school,Married,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,5,2014,43
185,1983,College,Married,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,1,0,4,2012,50
186,1970,PhD,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,1,0,5,2014,39
187,1966,College,Married,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,1,0,16,2013,608
188,1976,College,Married,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,23,2013,1581
189,1964,PhD,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,2,0,5,2013,68
190,1978,High_school,Coupled,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,1,1,4,2012,80
191,1989,PhD,Coupled,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,27,2013,1282
192,1900,Masters,Single,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,1,0,5,2013,65
193,1988,College,Married,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,1,0,6,2013,91
194,1973,College,Married,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,2,0,12,2013,315
195,1977,College,Married,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,2,0,4,2013,31
196,1980,Masters,Married,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,22,2014,834
197,1954,College,Married,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,16,2013,1600
198,1954,College,Married,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,16,2013,1270
199,1973,PhD,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,2,2,9,2014,263
200,1952,College,Single,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,1,16,2014,535
201,1968,College,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,17,2013,1295
202,1978,College,Single,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,1,0,26,2013,1150
203,1977,PhD,Coupled,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,0,4,26,2012,1240
204,1965,PhD,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,2,0,4,2013,38
205,1984,Masters,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,0,2,3,2012,35
206,1988,College,Coupled,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,1,1,4,2013,53
207,1963,Masters,Single,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,2,0,11,2013,293
208,1966,College,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,1,0,5,2014,65
209,1954,College,Single,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,2,24,2012,1804
210,1956,College,Coupled,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,1,0,10,2013,241
211,1954,College,Coupled,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,19,2014,1101
212,1968,PhD,Married,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,2,0,11,2012,264
213,1974,Masters,Coupled,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,2,0,16,2013,541
214,1985,College,Married,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,16,2013,1198
215,1977,College,Married,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,1,0,14,2014,482
216,1978,Masters,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,3,0,3,2014,17
217,1948,Masters,Married,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,2,24,2013,1615
218,1954,Masters,Single,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,1,0,10,2013,285
219,1980,College,Coupled,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,1,0,26,2012,1135
220,1988,Masters,Coupled,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,1,0,6,2014,114
221,1969,College,Married,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,15,2013,1047
222,1970,PhD,Coupled,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,2,0,20,2014,714
223,1980,PhD,Married,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,1,0,9,2013,185
224,1962,College,Single,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,1,0,27,2012,1245
225,1978,College,Coupled,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,1,0,8,2013,189
226,1976,College,Coupled,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,1,0,14,2012,576
227,1952,College,Single,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,1,0,15,2012,1103
228,1972,PhD,Married,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,16,2012,1753
229,1986,PhD,Coupled,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,1,0,3,2014,17
230,1966,College,Single,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,2,1,14,2013,433
231,1962,Masters,Single,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,1,1,13,2013,1588
232,1971,College,Coupled,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,1,0,3,2013,22
233,1951,College,Single,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,4,2014,19
234,1965,PhD,Married,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,1,0,26,2013,1117
235,1975,Masters,Married,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,1,0,6,2013,69
236,1982,Masters,Coupled,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,1,0,4,2013,23
237,1958,PhD,Single,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,1,0,18,2013,605
238,1973,College,Single,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,1,0,7,2013,57
239,1893,Masters,Single,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,1,0,3,2014,22
240,1968,College,Single,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,1,21,2013,2088
241,1958,College,Coupled,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,1,0,14,2012,1009
242,1971,College,Single,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,1,0,4,2013,26
243,1990,College,Married,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,2,21,2013,1627
244,1958,College,Married,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,1,0,24,2012,1102
245,1964,PhD,Married,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,2,0,4,2014,17
246,1972,College,Married,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,4,14,2013,1690
247,1953,College,Married,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,1,0,19,2013,1390
248,1988,PhD,Married,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,19,2012,2126
249,1969,Masters,Coupled,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,1,0,21,2012,1531
250,1975,Masters,Single,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,1,0,5,2013,64
251,1985,College,Single,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,1,0,4,2013,26
252,1974,College,Single,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,0,5,28,2013,1112
253,1958,Masters,Coupled,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,9,2012,210
